date&time,temperature (°C),humidity (%),wind_speed (km/h),precipitation
0,100,19,1011,Snow. Dense fog.
0,100,20,1010,Snow. Dense fog.
0,100,22,1010,Snow. Dense fog.
0,100,20,1010,Snow. Dense fog.
0,100,17,1009,Snow. Dense fog.
0,100,19,1009,Snow. Dense fog.
1,100,19,1009,Light rain. More clouds than sun.
1,93,24,1009,Light rain. More clouds than sun.
1,100,24,1009,Light rain. Low clouds.
2,93,26,1009,Light rain. Low clouds.
2,93,28,1008,Light rain. Low clouds.
3,87,32,1008,Light rain. Low clouds.
3,87,30,1008,Light rain. Low clouds.
3,87,28,1008,Light rain. Low clouds.
3,87,24,1007,Light rain. Low clouds.
3,87,26,1007,Light rain. Low clouds.
3,87,26,1007,Light rain. Overcast.
4,87,30,1007,Drizzle. Broken clouds.
3,93,24,1008,Drizzle. Broken clouds.
4,87,24,1008,Drizzle. Broken clouds.
4,87,19,1009,Drizzle. Partly sunny.
3,100,13,1009,Passing clouds.
3,100,17,1009,Passing clouds.
4,93,17,1010,Passing clouds.
4,81,20,1011,Passing clouds.
3,87,20,1011,Passing clouds.
3,81,24,1012,Passing clouds.
3,81,28,1012,Passing clouds.
3,81,22,1013,Passing clouds.
3,81,22,1013,Passing clouds.
3,81,24,1013,Passing clouds.
3,75,24,1014,Passing clouds.
2,81,20,1014,Passing clouds.
2,81,13,1015,Passing clouds.
1,87,7,1015,Passing clouds.
-1,86,4,1016,Passing clouds.
-2,100,6,1016,Passing clouds.
-2,100,7,1016,Passing clouds.
0,93,11,1016,Passing clouds.
-1,93,11,1017,Passing clouds.
-2,93,11,1017,Passing clouds.
-2,93,6,1017,Passing clouds.
-2,93,9,1017,Passing clouds.
-2,93,4,1017,Passing clouds.
-3,100,4,1017,Passing clouds.
0,87,4,1017,Passing clouds.
0,87,4,1017,Passing clouds.
0,87,4,1017,Passing clouds.
0,87,11,1017,Passing clouds.
0,87,6,1017,Passing clouds.
0,87,9,1017,Passing clouds.
0,87,7,1017,Passing clouds.
0,87,9,1018,Passing clouds.
0,87,11,1018,Partly sunny.
0,87,11,1018,Partly sunny.
1,87,17,1018,Partly sunny.
2,81,15,1018,Scattered clouds.
3,75,20,1018,Scattered clouds.
3,75,26,1018,Partly sunny.
3,75,22,1018,Partly sunny.
3,75,22,1017,Passing clouds.
4,70,24,1017,Partly sunny.
4,70,20,1016,Broken clouds.
5,66,26,1016,Broken clouds.
5,61,24,1016,Scattered clouds.
5,61,20,1015,Scattered clouds.
4,70,24,1015,Scattered clouds.
4,70,19,1015,Scattered clouds.
3,75,19,1015,Passing clouds.
2,81,19,1014,Passing clouds.
2,81,17,1014,Passing clouds.
2,75,17,1014,Passing clouds.
2,81,17,1014,Passing clouds.
2,81,17,1013,Passing clouds.
2,81,17,1013,Passing clouds.
2,81,17,1013,Passing clouds.
2,81,17,1013,Passing clouds.
3,81,17,1013,Passing clouds.
3,81,13,1013,Passing clouds.
3,81,13,1013,Passing clouds.
3,81,13,1013,Passing clouds.
3,75,15,1013,Passing clouds.
4,70,11,1013,Passing clouds.
3,75,9,1014,Passing clouds.
3,75,11,1014,Passing clouds.
4,70,17,1014,Passing clouds.
3,81,13,1014,Passing clouds.
3,81,17,1014,Partly cloudy.
3,87,11,1015,Passing clouds.
4,75,19,1015,Passing clouds.
3,75,17,1015,Passing clouds.
3,70,15,1015,Passing clouds.
3,65,20,1016,Passing clouds.
3,60,17,1016,Passing clouds.
2,70,15,1016,Passing clouds.
2,70,13,1016,Passing clouds.
2,70,13,1016,Passing clouds.
2,70,7,1017,Passing clouds.
1,75,7,1017,Passing clouds.
2,70,9,1017,Passing clouds.
1,75,7,1018,Passing clouds.
2,70,6,1018,Passing clouds.
2,70,6,1019,Passing clouds.
2,70,11,1019,Passing clouds.
2,65,9,1020,Partly sunny.
2,65,9,1020,Scattered clouds.
3,60,9,1020,Partly sunny.
2,65,11,1020,Passing clouds.
3,65,13,1019,Passing clouds.
3,65,9,1019,Passing clouds.
3,65,4,1019,Passing clouds.
2,70,9,1019,Passing clouds.
2,70,11,1019,Passing clouds.
2,70,13,1019,Passing clouds.
2,70,13,1019,Passing clouds.
1,75,15,1019,Passing clouds.
1,75,9,1019,Passing clouds.
0,80,7,1019,Passing clouds.
0,80,11,1019,Passing clouds.
0,80,13,1019,Passing clouds.
0,80,13,1019,Passing clouds.
-1,86,13,1019,Passing clouds.
0,80,13,1019,Passing clouds.
0,80,11,1019,Passing clouds.
0,75,11,1019,Passing clouds.
-1,80,13,1019,Passing clouds.
-1,80,15,1019,Passing clouds.
-2,80,17,1019,Passing clouds.
-1,75,19,1019,Passing clouds.
-2,86,17,1019,Passing clouds.
-2,86,13,1019,Passing clouds.
-3,93,13,1019,Passing clouds.
-3,86,13,1019,Passing clouds.
-2,80,9,1019,Passing clouds.
-2,80,4,1019,Clear.
-1,75,13,1019,Passing clouds.
-2,80,13,1020,Passing clouds.
-2,80,13,1020,Passing clouds.
-1,75,13,1020,Passing clouds.
